"burn"	"site"	"burnsite"	"mix.type"	"site.type"	"moist.class"	"elev"	"Lat.N."	"Lon.W."	"slope.deg"	"aspect"	"asp.folded"	"lat.rad"	"slope.rad"	"aspect.rad"	"ln.Htload."	"insolation"	"moisture"	"pH"	"text.class"	"org"	"BS.dens"	"BS.ba"	"TA.dens"	"TA.ba"	"PB.dens"	"PB.ba"	"BS.dens.post"	"TA.dens.post"	"PB.dens.post"	"BS.BAI"	"BS.rw"	"BS.mean.age"	"total.dens"	"bs.prop"	"ta.prop"	"pb.prop"
"37"	"DC"	"M7"	"DCM7"	"PB"	"PB"	2	484	66.12109	-150.15542	10	112	67	1.154030726	0.174532925	1.169370599	0.08948313	0.763	10	5.42	3	4.1	0.05	5.849056472	0	0	0.05	4.887467321	12000	0	26000	70.35952906	0.910617535	49.625	38000	0.315789473684211	0	0.684210526315789
"38"	"DC"	"M8"	"DCM8"	"PB"	"PB"	3	245	66.08195	-150.10324	0	90	45	1.153347604	0	0.785398163	-2.578060899	0.73	39.66666667	6.033333333	3	7.4	0.791666667	16.15878181	0	0	0.033333333	1.690045948	65000	19000	37000	183.8869433	0.239727776	66.4	121000	0.537190082644628	0.15702479338843	0.305785123966942
"39"	"DC"	"M9"	"DCM9"	"PB"	"PB"	3	260	66.08898	-150.10966	0	90	45	1.1534703	0	0.785398163	-2.577000004	0.73	24.66666667	6.57	2	6	1.175	23.31199194	0	0	0.05	1.571712625	65000	53000	80000	40.65511588	0.329595956	62.5	198000	0.328282828282828	0.267676767676768	0.404040404040404
"40"	"DC"	"M10"	"DCM10"	"PB"	"PB"	2	268	66.0965	-150.12058	15	255	150	1.153601549	0.261799388	2.617993878	-0.289285319	0.752	8.666666667	6.3	1	3.7	1.033333333	11.4814085	0	0	0.225	4.734641928	14000	15000	13000	60.82711606	0.323337926	64	42000	0.333333333333333	0.357142857142857	0.30952380952381
"41"	"DC"	"M11"	"DCM11"	"PB"	"PB"	1	190	65.58354	-150.00049	11	302	103	1.144648708	0.191986218	1.79768913	-1.758450266	0.654	11.66666667	5.38	1	3.5	0.266666667	10.56039826	0	0	0	0	28000	0	0	37.207203	0.34654795	62.4	28000	1	0	0
"42"	"DC"	"M12"	"DCM12"	"TA"	"TA"	3	122	65.54693	-149.47666	0	90	45	1.144009743	0	0.785398163	-2.465057174	0.737	46.66666667	6.823333333	3	11.6	0.641666667	12.24815346	0.1	5.628752288	0.016666667	3.197225023	130000	22000	43000	51.22632859	0.710099838	41.4	195000	0.666666666666667	0.112820512820513	0.220512820512821
"43"	"DC"	"D1"	"DCD1"	"BS"	"D"	2	319	66.16901667	-150.2023167	0	90	45	1.154867204	0	0.785398163	-2.560264789	0.729	47.33333333	6.533333333	2	6.5	0.791666667	5.510418964	0	0	0	0	144000	77000	16000	18.19580903	0.207560471	58.6	237000	0.607594936708861	0.324894514767932	0.0675105485232067
"44"	"DC"	"D2"	"DCD2"	"BS"	"D"	2	248	66.13816667	-150.1670333	0	90	45	1.15432877	0	0.785398163	-2.567726607	0.73	42.66666667	6.476666667	3	7.6	0.666666667	6.737014546	0	0	0	0	88000	81000	1000	19.28497509	0.18661995	63.77778	170000	0.517647058823529	0.476470588235294	0.00588235294117647
"45"	"DC"	"D3"	"DCD3"	"BS"	"D"	2	159	65.96183333	-149.9766667	0	90	45	1.151251172	0	0.785398163	-2.585908979	0.732	38.33333333	6.913333333	4	8.5	0.816666667	8.626028029	0	0	0.008333333	1.803535983	61000	1000	3000	17.92093206	0.120659071	85.6	65000	0.938461538461538	0.0153846153846154	0.0461538461538462
"46"	"DC"	"N1"	"DCN1"	"BS"	"N"	2	523	66.2603166	-150.3361	6.5	330	75	1.156460688	0.113446401	1.308996939	-2.434448991	0.656	23.33333333	4.776666667	2	3.4	0.116666667	8.131292636	0	0	0	0	28000	0	0	130.4971379	0.676226371	56	28000	1	0	0
"47"	"DC"	"N2"	"DCN2"	"BS"	"N"	3	464	66.2118166	-150.2578166	11.5	20	25	1.155614203	0.200712864	0.436332313	-2.176916599	0.585	30.83333333	4.94	1	13.7	0.55	6.786167381	0	0	0	0	125000	125000	23000	29.70420029	0.247878468	58.4	273000	0.457875457875458	0.457875457875458	0.0842490842490843
"48"	"DC"	"N3"	"DCN3"	"BS"	"N"	2	464	66.11195	-150.1569333	8.5	342	63	1.153871202	0.148352986	1.099557429	-0.194913677	0.626	7	5.563333333	1	3.8	0.166666667	6.901424561	0.033333333	0.403891006	0	0	0	19000	0	110.38264	0.614947494	49.1	19000	0	1	0
"49"	"DC"	"S1"	"DCS1"	"BS"	"S"	2	518	66.25559833	-150.321	4.25	150	105	1.156378339	0.074176493	1.832595715	-0.331723111	0.77	20.33333333	4.943333333	2	3.8	0.158333333	10.90865689	0	0	0	0	33000	16000	0	224.0532524	0.920304459	55.25	49000	0.673469387755102	0.326530612244898	0
"50"	"DC"	"S2"	"DCS2"	"BS"	"S"	1	218	66.073	-150.1683666	15	168	123	1.153191397	0.261799388	2.14675498	-0.385227673	0.88	30.66666667	6.083333333	2	2	1.075	12.48180941	0	0	0	0	16000	16000	0	31.04688518	0.280089256	55.7	32000	0.5	0.5	0
"51"	"DC"	"S3"	"DCS3"	"BS"	"S"	2	194	66.07135	-150.1691333	8.5	160	115	1.153162599	0.148352986	2.00712864	-0.153238075	0.818	51.66666667	7.603333333	5	8.6	0.558333333	11.98157623	0	0	0	0	12000	80000	1000	34.44394488	0.317210876	54.44444	93000	0.129032258064516	0.860215053763441	0.010752688172043
"52"	"DC"	"W1"	"DCW1"	"BS"	"W"	6	167	66.11525	-150.16475	0	90	45	1.153928798	0	0.785398163	-2.572449524	0.73	57.66666667	6.55	5	19.8	0.466666667	3.171241434	0	0	0	0	32000	10000	0	17.77627206	0.153263427	69.71429	42000	0.761904761904762	0.238095238095238	0
"53"	"DC"	"W2"	"DCW2"	"BS"	"W"	5	130	66.17566666	-150.2105	0	90	45	1.154983268	0	0.785398163	-2.558490955	0.729	49.66666667	5.216666667	4	28.6	0.375	2.29637333	0	0	0	0	29000	0	666.66667	25.40531135	0.372626341	39.75	29666.66667	0.977528089777806	0	0.0224719102221942
"54"	"DC"	"W3"	"DCW3"	"BS"	"W"	6	215	66.10715	-150.1558666	0	90	45	1.153787427	0	0.785398163	-2.573951103	0.73	71	5.52	5	20.4	0.266666667	1.356251728	0	0	0	0	64000	15000	0	23.94610029	0.353920174	42.22222	79000	0.810126582278481	0.189873417721519	0
"55"	"TC"	"M1"	"TCM1"	"TA"	"TA"	1	756	63.99109	-142.13461	0	146	101	1.116855212	0	1.762782545	-0.69594735	0.755	13.66666667	5.196666667	1	2.5	0.158333333	2.226145644	0.158333333	84.31445634	0	0	4000	135000	0	88.93359874	0.572890797	51.4	139000	0.0287769784172662	0.971223021582734	0
"56"	"TC"	"M2"	"TCM2"	"TA"	"TA"	2	650	64.05722	-142.0309	9.75	182	137	1.118009399	0.170169602	2.391101075	-1.318463623	0.855	14.66666667	5.336666667	3	3.5	0.133333333	5.122497721	0.108333333	7.749654578	0	0	40000	191000	1000	79.16026047	0.542365215	54.8	232000	0.172413793103448	0.823275862068966	0.00431034482758621
