"tag"	"species"	"height"
"245"	"TA16"	"aspen"	21
"246"	"TA17"	"aspen"	26
"247"	"TA18"	"aspen"	15
"248"	"TA19"	"aspen"	32
"249"	"TA2"	"aspen"	64
"250"	"TA20"	"aspen"	43
"251"	"TA3"	"aspen"	39
"252"	"TA4"	"aspen"	51
"253"	"TA5"	"aspen"	17
"254"	"TA7"	"aspen"	20
"255"	"TA8"	"aspen"	73
"256"	"TA9"	"aspen"	20
"257"	"PB12"	"birch"	189
"258"	"PB14"	"birch"	95
"259"	"PB15"	"birch"	91
"260"	"PB16"	"birch"	12
"261"	"PB17"	"birch"	81
"262"	"PB18"	"birch"	92
"263"	"PB19"	"birch"	163
"264"	"PB2"	"birch"	262
"265"	"PB20"	"birch"	69
"266"	"PB8"	"birch"	122
"267"	"BS1"	"spruce"	17
"268"	"BS10"	"spruce"	120
"269"	"BS11"	"spruce"	66
"270"	"BS12"	"spruce"	57
"271"	"BS13"	"spruce"	41
"272"	"BS14"	"spruce"	49
"273"	"BS15"	"spruce"	54
"274"	"BS16"	"spruce"	36
"275"	"BS17"	"spruce"	64
"276"	"BS18"	"spruce"	57
"277"	"BS19"	"spruce"	36
"278"	"BS2"	"spruce"	46
"279"	"BS20"	"spruce"	68
"280"	"BS3"	"spruce"	49
"281"	"BS4"	"spruce"	46
"282"	"BS5"	"spruce"	61
"283"	"BS6"	"spruce"	21
"284"	"BS7"	"spruce"	39
"285"	"BS8"	"spruce"	44
"286"	"BS9"	"spruce"	88
"287"	"PB13"	"birch"	100
"288"	"PB14"	"birch"	194
"289"	"PB15"	"birch"	251
"290"	"PB19"	"birch"	161
"291"	"PB20"	"birch"	244
"292"	"TA10"	"aspen"	246
"293"	"TA17"	"aspen"	123
"294"	"TA19"	"aspen"	386
"295"	"TA3"	"aspen"	204
"296"	"PB1"	"birch"	328
"297"	"PB16"	"birch"	299
"298"	"PB17"	"birch"	214
"299"	"PB18"	"birch"	224
"300"	"PB19"	"birch"	354
"301"	"PB20"	"birch"	207
"302"	"PB4"	"birch"	321
"303"	"PB5"	"birch"	409
"304"	"PB7"	"birch"	336
"305"	"TA12"	"aspen"	122
"306"	"TA2"	"aspen"	57
"307"	"PB10"	"birch"	108
"308"	"PB11"	"birch"	138
"309"	"PB13"	"birch"	189
"310"	"PB14"	"birch"	100
"311"	"PB15"	"birch"	157
"312"	"PB16"	"birch"	108
"313"	"PB19"	"birch"	145
"314"	"PB2"	"birch"	65
"315"	"PB4"	"birch"	198
"316"	"PB6"	"birch"	168
"317"	"PB8"	"birch"	136
"318"	"PB9"	"birch"	127
"319"	"PB11"	"birch"	174
"320"	"PB15"	"birch"	153
"321"	"PB7"	"birch"	164
"322"	"PB8"	"birch"	221
"323"	"PB1"	"birch"	228
"324"	"PB10"	"birch"	135
"325"	"PB11"	"birch"	176
"326"	"PB3"	"birch"	187
"327"	"PB4"	"birch"	210
"328"	"PB5"	"birch"	271
"329"	"PB6"	"birch"	266
"330"	"TA5"	"aspen"	14
"331"	"PB18"	"birch"	176
"332"	"PB9"	"birch"	347
"333"	"PB2"	"birch"	359
"335"	"PB10"	"birch"	206
"336"	"BS6"	"spruce"	10
"337"	"TA6"	"aspen"	84
"338"	"PB1"	"birch"	193
"339"	"PB10"	"birch"	217
"340"	"TA18"	"aspen"	207
"341"	"TA6"	"aspen"	191
"342"	"TA8"	"aspen"	220
"343"	"PB15"	"birch"	171
"344"	"PB8"	"birch"	301
"345"	"PB18"	"birch"	130
"346"	"PB20"	"birch"	222
"347"	"PB7"	"birch"	166
"348"	"PB9"	"birch"	263
